date_,source,post_text,cluster number,ner
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Россия будет оказывать помощь Белграду, не вступая в конфликт, в случае обострения ситуации вокруг Сербии — сенатор Джабаров.министерство инстранных дел Косово предложил жителям въезжать через Северную Македонию из-за блокирования двух КПП.",сербия,"{""Россия"": ""LOC"", ""Белграду"": ""LOC"", ""Сербии"": ""LOC"", ""Джабаров"": ""ORG"", ""министерство инстранных дел"": ""ORG"", ""Косово"": ""LOC"", ""Северную Македонию"": ""PER"", ""КПП"": ""ORG""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Первое судно с украинским зерном вышло из порта ОдессыМинобороны Турции сообщило, что сухогруз Razoni, загруженный кукурузой, идёт под флагом Сьерра-Леоне в Ливан.",украина,"{""Одессы"": ""ORG"", ""Минобороны"": ""ORG"", ""Турции"": ""LOC"", ""Razoni"": ""ORG"", ""Сьерра"": ""PER"", ""Леоне"": ""LOC"", ""Ливан"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Самолет со спикером Палаты представителей Конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки может попытаться совершить посадку на Тайване под предлогом технической неисправности или необходимости дозаправки, пишет издание Global TimesОно отмечает, что ""по-прежнему возможно то, что Пелоси член Палаты представителей Конгресса Соединенных штатов америки захочет сделать рискованный и опасный шаг, попытавшись приземлиться в аэропорту Тайваня под предлогом такой чрезвычайной ситуации, как техническая неисправность или дозаправка"", в связи с чем ""китайские военные патрули, радары, а также участвующие в учениях силы должны находиться в высокой степени готовности в ближайшие дни"".",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Палаты представителей"": ""ORG"", ""Конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайване"": ""ORG"", ""Global Times"": ""ORG"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""ORG"", ""Тайваня"": ""ORG""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Мы не проглотим наживку, нас не запугают — представитель Белого дома Кирби",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Белого дома"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Китай, похоже, готовится предпринять дальнейшие шаги в ближайшие дни, которые могут включать военные провокации — Белый дом",китай тайвань,"{""Китай"": ""LOC"", ""Белый дом"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,соединенные штаты америки в понедельник одобрят новый пакет помощи Украине на 550 миллионов долларов в сфере обороны – Белый дом,украина,"{""соединенные штаты америки"": ""LOC"", ""Украине"": ""LOC"", ""Белый дом"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Владимир Зеленский должен был отказаться от идеи вернуть Крым, пойдя на соглашение с Путиным, заявил бывший президент соединенные штаты америки Дональд Трамп в эфире The Clay Travis & Buck Sexton ShowТакже, по мнению Трампа, Зеленскому стоило отказаться от идеи обязательного вступления Украины в НАТО – в этом случае войну удалось бы предотвратить. ""Тогда у них была бы страна"", – подчеркнул Трамп.",украина,"{""Владимир Зеленский"": ""PER"", ""Крым"": ""PER"", ""Путиным"": ""PER"", ""соединенные штаты америки"": ""LOC"", ""Дональд Трамп"": ""PER"", ""The Clay Travis & Buck Sexton Show"": ""ORG"", ""Трампа"": ""ORG"", ""Зеленскому"": ""PER"", ""Украины"": ""LOC"", ""НАТО"": ""ORG"", ""Трамп"": ""PER""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,Великобритания ослабила санкции против России в сфере страхования авиационной отрасли,санкции,"{""Великобритания"": ""LOC"", ""России"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"евросоюзнаправил Украине 1 миллиард евро в виде макрофинансовой помощиПервый транш в 500 миллион евро уже зачислен на счёт украинского Нацбанка, заявил премьер-министр Украины Денис Шмыгаль.Поступления второго транша ожидается 2 августа.",украина,"{""ЕС"": ""LOC"", ""Украине"": ""LOC"", ""Нацбанка"": ""ORG"", ""Украины"": ""LOC"", ""Денис Шмыгаль"": ""PER""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Юань быстро падает к рублю, теряет почти 5%",экономика,{}
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Авианосная ударная группа Военно морские силы соединенные штаты америки во главе с авианосцем ""Рональд Рейган"" направилась в акваторию к юго-востоку от Тайваня, сообщил китайский аналитический центр SCSPI. По его данным, 30 июля авианосная ударная группа Военно морские силы соединенные штаты америки покинула Южно-Китайское море и через пролив Сан-Бернардино вышла в Филиппинское море. После этого авианосец ""Рональд Рейган"" обогнул с юго-востока филиппинский остров Лусон и взял курс на север в сторону Тайваня.",китай тайвань,"{""Военно морские силы"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Рональд Рейган"": ""PER"", ""Тайваня"": ""LOC"", ""SCSPI"": ""ORG"", ""Южно"": ""PER"", ""Китайское море"": ""ORG"", ""Сан"": ""PER"", ""Бернардино"": ""PER"", ""Филиппинское море"": ""ORG"", ""Лусон"": ""PER""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"В центре Петербурга три пьяных россиянина напали на темнокожего мужчину со словами ""Такие, как ты, убивают наших солдат!""Они подумали, что он американец. Оказалось, что 43 летний мужчина приехал из Африки.По словам очевидицы происходящего, один из нападавших ударил африканца по лицу, тот потерял сознание и упал на тротуар. Прохожие вызвали скорую помощь. Мужчина поступил в больницу с закрытой черепно-мозговой травмой, сотрясением головного мозга и вывихом правого плеча.",происществия,"{""Петербурга"": ""LOC"", ""Африки"": ""ORG"", ""Прохожие"": ""PER""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"В Японии произошла утечка семи тонн радиоактивной воды внутри энергоблока на атомная электро станция ""Михама"".Компания-оператор станции утверждает, что ситуация под контролем и влияния на окружающую среду нет",ядерное,"{""Японии"": ""LOC"", ""атомная электро станция \"""": ""ORG"", ""Михама"": ""PER""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Спикер Палаты представителей конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки выступила в Законодательном юане (парламенте) Тайваня По ее словам, она прибыла в Китайскую республику ""во имя мира для региона"". Глава администрации Тайваня Цай Инвэнь вручила Пелоси член Палаты представителей Конгресса Соединенных штатов америки орден Благожелательных облаков за заслуги в продвижении отношений Вашингтона и Тайбэя.",китай тайвань,"{""Палаты представителей конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Законодательном юане"": ""ORG"", ""Тайваня"": ""PER"", ""Китайскую республику \"""": ""ORG"", ""Тайваня Цай Инвэнь"": ""PER"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки орден"": ""PER"", ""Вашингтона"": ""LOC"", ""Тайбэя"": ""LOC""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,Россиянам и беларусам разрешат сдавать международный экзамен по английскому языку TOEFL с 4 августа в удаленном формате,происществия,{}
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Байден уважает решение Пелоси член Палаты представителей Конгресса Соединенных штатов америки поехать на Тайвань, заявили в Белом доме в ответ на вопрос, поддерживает ли президент соединенные штаты америки шаги спикера Палаты представителей.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Байден"": ""PER"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""ORG"", ""Тайвань"": ""PER"", ""Белом доме"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""Палаты представителей"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки не поддерживают независимость Тайваня, об этом Вашингтон сообщал китайским властям на высшем уровне, заявил координатор по стратегическим коммуникациям в Совете национальной безопасности Белого дома Джон Кирби.",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""Тайваня"": ""PER"", ""Вашингтон"": ""LOC"", ""Совете национальной безопасности"": ""ORG"", ""Белого дома"": ""LOC"", ""Джон Кирби"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Китай не намерен применять ядерное оружие первым — глава департамента министерство инстранных дел китайская народная республика,ядерное,"{""Китай"": ""LOC"", ""министерство инстранных дел"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки не хотят кризиса в отношениях с китайская народная республика и не намерены ""бряцать оружием"", будут сохранять каналы общения открытыми — Белый дом",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""китайская народная республика"": ""LOC"", ""Белый дом"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Председатель китайская народная республика Си Цзиньпин высказался о визите Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань""Визит Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань является еще одной демонстрацией нецивилизованной кампании империалистов. Мы продолжаем смотреть на мир широко раскрытыми глазами, чтобы не пропустить ни одной провокации со стороны американских реакционеров"", - говорится в заявлении председателя китайская народная республика.",китай тайвань,"{""китайская народная республика"": ""LOC"", ""Си Цзиньпин"": ""PER"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань \"""": ""PER"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""ORG"", ""Тайвань"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,министерство инстранных дел Китая вызвал посла соединенные штаты америки и выразил ему протест из-за визита Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""министерство инстранных дел"": ""ORG"", ""Китая"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"ООН придерживается политики ""одного Китая"" — офис генсека о визите Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""ООН"": ""ORG"", ""Китая"": ""LOC"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки вводят визовые санкции в отношении 893 российских официальных лиц, включая членов Совета Федерации и военных, а также против 31 официальных лиц третьих стран за поддержку присоединения Крыма",санкции,"{""соединенные штаты америки"": ""LOC"", ""Совета Федерации"": ""ORG"", ""Крыма"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Ответ Китая будет мощным и сильным — посол китайская народная республика в соединенные штаты америки о визите Пелоси член Палаты представителей Конгресса Соединенных штатов америки,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Китая"": ""LOC"", ""китайская народная республика"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,соединенные штаты америки ввели санкции против Алины Кабаевой,санкции,"{""соединенные штаты америки"": ""LOC"", ""Алины Кабаевой"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Заявление восточного военного командования китайская народная республика: ""Мы собираемся провести совместные морские и воздушные учения в воздушном пространстве к северу, юго-западу и юго-востоку от острова Тайвань. Мы проведем боевые стрельбы с большой дальности в Тайваньском проливе, эти военные операции нацелены на недавние действия соединенные штаты америки по тайваньскому вопросу. китайская народная республика также проведет боевые стрельбы в водах у восточного побережья острова Тайвань"".",китай тайвань,"{""китайская народная республика"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""Тайвань \"""": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Силы находятся в состоянии повышенной готовности, начнутся целенаправленные военные операции по противодействию визиту Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань — Reuters со ссылкой на Министерство обороны китайская народная республика",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Reuters"": ""ORG"", ""Министерство обороны"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Министерство обороны Тайваня: сообщения о том, что китайские истребители Су-35 пересекли Тайваньский пролив, являются ложными",китай тайвань,"{""Министерство обороны"": ""ORG"", ""Тайваня"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Визит Пелоси член Палаты представителей Конгресса Соединенных штатов америки полностью соответствует политике соединенные штаты америки по отношению к Китаю, причин для эскалации со стороны Китая нет, заявили в Белом Доме.",китай тайвань,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""соединенные штаты америки"": ""LOC"", ""Китаю"": ""LOC"", ""Китая"": ""LOC"", ""Белом Доме"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Прибытием Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань она устанавливает высокие ставки на противостояния с Китаем, — The New York Times.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Тайвань"": ""LOC"", ""Китаем"": ""LOC"", ""The New York Times"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Пелоси член Палаты представителей Конгресса Соединенных штатов америки, как ожидается, встретится с президентом Тайваня в среду, вылетит из Тайваня во второй половине дня — центральное информационное агентство Тайваня",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Тайваня"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Пелоси член Палаты представителей Конгресса Соединенных штатов америки заявила, что соединенные штаты америки не могут оставаться в стороне, пока Китай ""угрожает Тайваню и демократии в принципе""",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""Китай"": ""LOC"", ""Тайваню и демократии в принципе \"""": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Китай объявил с четверга по воскресенье военные учения в шести районах моря вокруг Тайваня,китай тайвань,"{""Китай"": ""LOC"", ""Тайваня"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"министерство инстранных дел Китая: в ответ на визит Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань мы примем все необходимые меры для защиты государственного суверенитета и территориальной целостности, ответственность за последствия будет лежать на соединенные штаты америки и Тайбэе",китай тайвань,"{""министерство инстранных дел"": ""ORG"", ""Китая"": ""LOC"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER"", ""соединенные штаты америки"": ""LOC"", ""Тайбэе"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки заявила, что соединенные штаты америки поддерживают тайваньскую демократию и продолжают выступать против односторонних попыток ""изменить статус-кво""",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""соединенные штаты америки"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Визит Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань является серьезным нарушением суверенитета и территориальной целостности Китая — министерство инстранных дел китайская народная республика,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER"", ""Китая"": ""LOC"", ""министерство инстранных дел"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Самолет, на котором предположительно находится спикер Палаты представителей Конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки, повернул в сторону Тайваня",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Палаты представителей"": ""ORG"", ""Конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайваня"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Делегация Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки забронировала 48 номеров в отеле Grand Hyatt в Тайбэе, сообщил тайваньский телеканал ""Саньли""По данным телеканала, она прибудет на Тайвань около 21:20 по местному времени (16:20 по Москве). Делегация планирует остановиться в отеле на одну ночь.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Grand Hyatt"": ""ORG"", ""Тайбэе"": ""ORG"", ""Тайвань"": ""PER"", ""Москве"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Почти 300 тысяч человек наблюдают за полетом борта с позывным SPAR19, на котором предположительно находится спикер Палаты представителей Конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""SPAR19"": ""ORG"", ""Палаты представителей"": ""ORG"", ""Конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Еще один правительственный самолет соединенные штаты америки прибыл в Малайзию с американской военно-воздушной базы Скотт в Иллинойсе и может быть использован для сопровождения полета спикера палаты представителей соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань или для замены ее спецборта, пишет газета Global Times.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""соединенные штаты америки"": ""LOC"", ""Малайзию"": ""LOC"", ""Скотт"": ""PER"", ""Иллинойсе"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER"", ""Global Times"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Народно-освободительная армия Китая стягивает бронетехнику на пляжи провинции Фуцзянь Это ближайшая к Тайваню провинция.,китай тайвань,"{""Китая"": ""LOC"", ""Фуцзянь"": ""LOC"", ""Тайваню провинция"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки переходят рамки дозволенного, Китай лишит сепаратистов и их пособников малейших шансов на независимость Тайваня — министерство инстранных дел китайская народная республика",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""Китай"": ""LOC"", ""Тайваня"": ""LOC"", ""министерство инстранных дел"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Самолет с Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки на борту вылетел из малазийского Куала-ЛумпураСогласно озвученной ранее информации, после визита в Малайзию Пелоси член Палаты представителей Конгресса Соединенных штатов америки планирует посетить Тайвань вместе с 5 членами палаты представителей от Демократической партии соединенные штаты америки.На самом ли деле самолет с Пелоси член Палаты представителей Конгресса Соединенных штатов америки на борту взял курс на Тайвань после вылета, пока непонятно.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Куала"": ""PER"", ""Лумпура"": ""PER"", ""Малайзию Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER"", ""Демократической партии"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Соединенные Штаты убили главного лидера ""Аль-Каиды"" Аймана аз-Завахири в Кабуле, Афганистан",соединенные штаты америки,"{""Соединенные Штаты"": ""LOC"", ""\"" Аль"": ""PER"", ""Каиды \"" Аймана аз"": ""ORG"", ""Завахири"": ""ORG"", ""Кабуле"": ""LOC"", ""Афганистан"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Российский нападающий клуба Национальной хоккейной лиги ""Миннесота"" Кирилл Капризов находится в соединенные штаты америки, сообщает портал The Athletic со ссылкой на источники в НХЛ9 июля The Athletic сообщил, что Капризову было отказано во въезде в соединенные штаты америки предположительно из-за отсутствия рабочей визы. В итоге форвард вернулся в Россию. 6 июля телеграм-канал SHOT сообщил, что Капризов разыскивается по делу о покупке военного билета. Позднее отец хоккеиста Олег Капризов заявил ТАСС, что у его сына не было военного билета, так как он имеет отсрочку от прохождения службы.",соединенные штаты америки,"{""Национальной хоккейной лиги"": ""ORG"", ""Миннесота \"""": ""ORG"", ""Кирилл Капризов"": ""PER"", ""соединенные штаты америки"": ""LOC"", ""The Athletic"": ""ORG"", ""НХЛ"": ""ORG"", ""Капризову"": ""LOC"", ""Россию"": ""LOC"", ""SHOT"": ""ORG"", ""Капризов разыскивается"": ""ORG"", ""Олег Капризов"": ""PER"", ""ТАСС"": ""ORG""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,Первый случай смерти человека от оспы обезьян зафиксирован в Перу,происществия,"{""Перу"": ""LOC""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Швейцария приняла 7-й пакет санкций против России, включая эмбарго на золото",санкции,"{""Швейцария"": ""LOC"", ""России"": ""LOC""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Число пострадавших при пожаре на складе Ozon выросло до 11 человек, двое госпитализированы, сообщили в ГУ МЧС.Отмечается, что к тушению привлечена группировка из почти 100 человек.",происществия,"{""Ozon"": ""ORG"", ""ГУ"": ""ORG"", ""МЧС"": ""ORG""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Пожар на складе ""Озона"" произошел из-за несоблюдения техники безопасности — глава округа Истра",происществия,"{""Истра"": ""ORG""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Масштаб пожара на складе Ozon в ПодмосковьеПо предварительным данным, пожар начался из-за короткого замыкания или сварочных работ, в результате которых загорелись стеллажи.",происществия,"{""Подмосковье"": ""LOC""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки завершает свой однодневный визит в Тайвань и готовится покинуть остров,китай тайвань,"{""Тайвань"": ""PER""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,В ближайшие недели соединенные штаты америки предоставят Украине до 75 тысяч 155-мм артиллерийских снарядов — Белый Дом,украина,"{""соединенные штаты америки"": ""LOC"", ""Украине"": ""LOC"", ""Белый Дом"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Пелоси член Палаты представителей Конгресса Соединенных штатов америки в письменном заявлении, распространенном ее пресс-службой, подчеркнула, что ее визит на Тайвань не противоречит политике соединенные штаты америки в отношении Китая",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Тайвань"": ""PER"", ""соединенные штаты америки"": ""LOC"", ""Китая"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Визит Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань серьезно нарушает принцип ""одного Китая"" и положения трех китайско-американских коммюнике — министерство инстранных дел китайская народная республика",китай тайвань,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""PER"", ""Китая"": ""LOC"", ""министерство инстранных дел"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Пелоси член Палаты представителей Конгресса Соединенных штатов америки вышла из самолетаОна официально прибыла на Тайвань.,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Тайвань"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Борт Пелоси член Палаты представителей Конгресса Соединенных штатов америки заходит на посадку,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,{}
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Восточная китайская провинция Чжэцзян, расположенная к северу от острова Тайвань, проведет морские учения со стрельбами в Восточно-Китайском море 3-5 августа, сообщило управление морских дел провинции Учения будут проходить ежедневно с 06:30 до 18:30 по местному времени. В соответствующей акватории запрещено судоходство. Ранее Управление морской безопасности китайская народная республика сообщило, что Народно-освободительная армия китайская народная республика (НОАК) во вторник приступила к учениям в Южно-Китайском море на фоне вероятного визита на Тайвань спикера Палаты представителей Конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Чжэцзян"": ""PER"", ""Тайвань"": ""LOC"", ""Восточно"": ""PER"", ""Управление морской безопасности"": ""ORG"", ""китайская народная республика"": ""LOC"", ""Народно"": ""PER"", ""НОАК"": ""ORG"", ""Южно"": ""LOC"", ""Китайском море"": ""ORG"", ""Палаты представителей"": ""ORG"", ""Конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Самолет, на борту которого, предположительно, летит Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки, должен приземлиться в течение 10-15 минутЛюди собрались у аэропорта в Тайбэе.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Тайбэе"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,Десятки истребителей Военно воздушные силы соединенные штаты америки подняты с баз в Японии курсом на ТайваньНеназванное количество истребителей Су-35 Военно воздушные силы Китая пересекли Тайваньский пролив в направлении острова.,китай тайвань,"{""Военно воздушные силы"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Японии"": ""LOC"", ""Тайвань Неназванное"": ""PER"", ""Китая"": ""LOC"", ""Тайваньский пролив"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Самолет, на котором может быть Пелоси член Палаты представителей Конгресса Соединенных штатов америки, заходит на посадку в сторону Тайбэя, сообщает сервис Flightradar 24",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""ORG"", ""Тайбэя"": ""PER"", ""Flightradar"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Китайские истребители Су-35 пересекают Тайваньский пролив, летят в сторону Тайваня - канал CGTN",китай тайвань,"{""Китайские"": ""PER"", ""Тайваньский пролив"": ""ORG"", ""Тайваня - канал"": ""ORG"", ""CGTN"": ""ORG""}"
